query_id,doc_id,relevance
alz_01,NCT03880240,1
alz_01,NCT04098666,0
alz_01,NCT02537626,1
alz_01,NCT04856072,1
alz_01,NCT01979419,1
alz_01,NCT01231971,1
alz_01,NCT03174938,1
alz_01,NCT01965756,1
alz_01,NCT01385033,1
alz_01,NCT01874418,1
alz_01,NCT02353949,1
alz_02,NCT01867359,1
alz_02,NCT04623242,1
alz_02,NCT01760005,1
alz_02,NCT00001480,1
alz_02,NCT02078531,0
alz_02,NCT03653156,1
alz_02,NCT04254094,1
alz_02,NCT03507257,1
alz_02,NCT02702817,1
alz_02,NCT04320368,1
alz_02,NCT01835717,1
alz_03,NCT04346212,0
alz_03,NCT02400034,0
alz_03,NCT02844816,0
alz_03,NCT03739502,0
alz_03,NCT03377270,0
alz_03,NCT03141372,0
alz_03,NCT03127280,0
alz_03,NCT02753920,0
alz_03,NCT02436889,0
alz_03,NCT04698499,0
alz_03,NCT00306501,0
alz_03,NCT04132271,0
alz_04,NCT03174938,1
alz_04,NCT02051244,1
alz_04,NCT03119961,1
alz_04,NCT04701957,1
alz_04,NCT03282916,1
alz_04,NCT04437290,1
alz_04,NCT01231971,1
alz_04,NCT01078636,1
alz_04,NCT03185208,1
alz_04,NCT04509271,1
alz_04,NCT02616679,1
alz_04,NCT02389413,1
alz_04,NCT01965756,1
alz_04,NCT02409238,1
alz_05,NCT04436081,1
alz_05,NCT00401167,1
alz_05,NCT01102582,0
alz_05,NCT01119638,1
alz_05,NCT03941119,1
alz_05,NCT04271046,1
alz_05,NCT00824967,1
alz_05,NCT04305652,1
alz_06,NCT01921972,1
alz_06,NCT02085265,1
alz_06,NCT03228498,1
alz_06,NCT02089555,1
alz_06,NCT01821638,0
alz_06,NCT03613116,0
alz_06,NCT02524405,1
alz_06,NCT02330510,1
alz_06,NCT02730065,0
alz_06,NCT00094939,1
alz_06,NCT02264899,1
alz_06,NCT02045004,0
alz_06,NCT02085330,0
alz_07,NCT02769000,1
alz_07,NCT04080544,0
alz_07,NCT00240760,1
alz_07,NCT00954369,0
alz_07,NCT00968097,0
alz_07,NCT02804789,0
alz_07,NCT04057807,0
alz_07,NCT04437290,0
alz_07,NCT02141971,1
alz_07,NCT02759887,1
alz_07,NCT04149197,1
alz_07,NCT02861846,1
alz_07,NCT03507257,0
alz_08,NCT00243451,0
alz_08,NCT04342520,0
alz_08,NCT04770220,1
alz_08,NCT01772095,1
alz_08,NCT02087618,0
alz_08,NCT02292238,1
alz_08,NCT02409238,0
alz_08,NCT04693520,1
alz_08,NCT00867828,1
alz_08,NCT01876823,1
alz_08,NCT01548937,1
alz_08,NCT04052737,1
alz_09,NCT02038192,1
alz_09,NCT03593070,1
alz_09,NCT01955317,0
alz_09,NCT04520698,1
alz_09,NCT04414787,0
alz_09,NCT03001232,1
alz_09,NCT03571165,1
alz_09,NCT02428387,1
alz_09,NCT01441726,1
alz_09,NCT03352791,1
alz_09,NCT00571064,1
alz_09,NCT03255967,1
alz_10,NCT02409238,0
alz_10,NCT00595582,0
alz_10,NCT03676738,0
alz_10,NCT00243451,0
alz_10,NCT02292238,0
alz_10,NCT01231971,1
alz_10,NCT02330510,0
alz_10,NCT03271190,1
alz_10,NCT04555655,1
alz_10,NCT04009382,1
alz_10,NCT01662882,0
alz_10,NCT03851523,1
alz_11,NCT00907595,0
alz_11,NCT00325728,1
alz_11,NCT03942341,0
alz_11,NCT00232570,1
alz_11,NCT04382365,0
alz_11,NCT03455569,1
alz_11,NCT02814045,1
alz_11,NCT02502045,1
alz_11,NCT01650454,1
alz_11,NCT03082755,1
alz_12,NCT03996460,1
alz_12,NCT00043849,1
alz_12,NCT04405596,1
alz_12,NCT03888222,1
alz_12,NCT04002674,1
alz_12,NCT00125138,1
alz_12,NCT02637089,0
alz_12,NCT04251585,0
alz_12,NCT04579887,1
alz_12,NCT01503944,1
alz_12,NCT03299062,1
alz_13,NCT04468659,1
alz_13,NCT04080544,0
alz_13,NCT03887455,1
alz_13,NCT03286478,0
alz_13,NCT04623242,1
alz_13,NCT02494531,0
alz_13,NCT04437290,1
alz_13,NCT03121118,0
alz_13,NCT04505735,0
alz_13,NCT01078636,1
alz_13,NCT04002583,1
alz_13,NCT03507257,1
alz_13,NCT02260674,1
alz_13,NCT02769000,1
alz_13,NCT03131453,1
alz_14,NCT03399305,0
alz_14,NCT02885545,0
alz_14,NCT02933697,0
alz_14,NCT04586972,0
alz_14,NCT04684732,0
alz_14,NCT03456648,0
alz_14,NCT02565693,0
alz_14,NCT04642430,0
alz_14,NCT01938248,0
alz_14,NCT02415400,0
alz_14,NCT00496769,0
alz_14,NCT02942407,0
alz_14,NCT02283294,0
alz_15,NCT04036955,1
alz_15,NCT03584568,1
alz_15,NCT03030027,1
alz_15,NCT02403752,1
alz_15,NCT01796314,1
alz_15,NCT03082755,0
alz_15,NCT04271046,0
alz_15,NCT04335110,1
alz_15,NCT03734289,0
alz_15,NCT04308512,1
alz_15,NCT04305951,0
alz_15,NCT00321971,0
